row-column,h1,h2,h3,h4
1-1,7.063969808391109,4.617374434305132,2.126015316412188,4.5726106904981645
1-2,6.793071868343107,4.346476494257131,2.3969132564601896,4.843508630546165
1-3,6.517802611355309,4.071207237269332,2.6721825134479884,5.118777887533964
1-4,6.2393138318818515,3.7927184577958752,2.9506712929214456,5.397266667007422
1-5,5.958852877703718,3.5122575036177426,3.2311322470995787,5.6777276211855545
1-6,5.6777276211855545,3.2311322470995787,3.5122575036177426,5.958852877703718
1-7,5.397266667007422,2.9506712929214456,3.7927184577958752,6.2393138318818515
1-8,5.118777887533964,2.6721825134479884,4.071207237269332,6.517802611355309
1-9,4.843508630546165,2.3969132564601896,4.346476494257131,6.793071868343107
1-10,4.5726106904981645,2.126015316412188,4.617374434305132,7.063969808391109
2-1,7.329953925390136,4.351390317306105,1.8600311994131609,4.838594807497191
2-2,7.059055985342134,4.080492377258104,2.1309291394611622,5.109492747545192
2-3,6.783786728354336,3.8052231202703055,2.406198396448961,5.384762004532991
2-4,6.505297948880878,3.526734340796848,2.6846871759224182,5.663250784006449
2-5,6.224836994702745,3.2462733866187152,2.9651481301005513,5.943711738184581
2-6,5.943711738184581,2.9651481301005513,3.2462733866187152,6.224836994702745
2-7,5.663250784006449,2.6846871759224182,3.526734340796848,6.505297948880878
2-8,5.384762004532991,2.406198396448961,3.8052231202703055,6.783786728354336
2-9,5.109492747545192,2.1309291394611622,4.080492377258104,7.059055985342134
2-10,4.838594807497191,1.8600311994131609,4.351390317306105,7.329953925390136
3-1,7.589720765673305,4.091623477022936,1.6002643591299917,5.09836164778036
3-2,7.318822825625304,3.820725536974935,1.871162299177993,5.3692595878283615
3-3,7.043553568637504,3.5454562799871363,2.146431556165792,5.64452884481616
3-4,6.765064789164048,3.2669675005136787,2.424920335639249,5.923017624289617
3-5,6.484603834985915,2.986506546335546,2.705381289817382,6.203478578467751
3-6,6.203478578467751,2.705381289817382,2.986506546335546,6.484603834985915
3-7,5.923017624289617,2.424920335639249,3.2669675005136787,6.765064789164048
3-8,5.64452884481616,2.146431556165792,3.5454562799871363,7.043553568637504
3-9,5.3692595878283615,1.871162299177993,3.820725536974935,7.318822825625304
3-10,5.09836164778036,1.6002643591299917,4.091623477022936,7.589720765673305
4-1,7.842524878444522,3.8388193642517194,1.347460246358775,5.351165760551577
4-2,7.57162693839652,3.5679214242037185,1.6183581864067764,5.622063700599579
4-3,7.296357681408722,3.2926521672159192,1.8936274433945748,5.897332957587377
4-4,7.017868901935264,3.014163387742462,2.1721162228680324,6.175821737060835
4-5,6.737407947757132,2.733702433564329,2.452577177046165,6.456282691238967
4-6,6.456282691238967,2.452577177046165,2.733702433564329,6.737407947757132
4-7,6.175821737060835,2.1721162228680324,3.014163387742462,7.017868901935264
4-8,5.897332957587377,1.8936274433945748,3.2926521672159192,7.296357681408722
4-9,5.622063700599579,1.6183581864067764,3.5679214242037185,7.57162693839652
4-10,5.351165760551577,1.347460246358775,3.8388193642517194,7.842524878444522
5-1,8.087776118657057,3.5935681240391846,1.1022090061462402,5.596417000764112
5-2,7.8168781786090555,3.3226701839911836,1.3731069461942416,5.867314940812113
5-3,7.541608921621257,3.0474009270033844,1.64837620318204,6.142584197799912
5-4,7.263120142147799,2.768912147529927,1.9268649826554975,6.4210729772733695
